Period,Value
Feb-1993,604
Mar-1993,602
Apr-1993,701
May-1993,626
Jun-1993,653
Jul-1993,655
Aug-1993,645
Sep-1993,726
Oct-1993,704
Nov-1993,769
Dec-1993,812
Jan-1994,619
Feb-1994,686
Mar-1994,747
Apr-1994,692
May-1994,691
Jun-1994,621
Jul-1994,628
Aug-1994,656
Sep-1994,677
Oct-1994,715
Nov-1994,646
Dec-1994,629
Jan-1995,626
Feb-1995,559
Mar-1995,616
Apr-1995,621
May-1995,674
Jun-1995,725
Jul-1995,765
Aug-1995,701
Sep-1995,678
Oct-1995,696
Nov-1995,664
Dec-1995,709
Jan-1996,714
Feb-1996,769
Mar-1996,721
Apr-1996,736
May-1996,746
Jun-1996,721
Jul-1996,770
Aug-1996,826
Sep-1996,770
Oct-1996,720
Nov-1996,771
Dec-1996,805
Jan-1997,830
Feb-1997,801
Mar-1997,831
Apr-1997,744
May-1997,760
Jun-1997,793
Jul-1997,805
Aug-1997,815
Sep-1997,840
Oct-1997,800
Nov-1997,864
Dec-1997,793
Jan-1998,872
Feb-1998,866
Mar-1998,836
Apr-1998,866
May-1998,887
Jun-1998,923
Jul-1998,876
Aug-1998,846
Sep-1998,864
Oct-1998,893
Nov-1998,995
Dec-1998,949
Jan-1999,875
Feb-1999,848
Mar-1999,863
Apr-1999,918
May-1999,888
Jun-1999,923
Jul-1999,900
Aug-1999,893
Sep-1999,826
Oct-1999,872
Nov-1999,863
Dec-1999,873
Jan-2000,873
Feb-2000,856
Mar-2000,900
Apr-2000,841
May-2000,857
Jun-2000,793
Jul-2000,887
Aug-2000,848
Sep-2000,912
Oct-2000,933
Nov-2000,880
Dec-2000,983
Jan-2001,936
Feb-2001,963
Mar-2001,939
Apr-2001,909
May-2001,885
Jun-2001,882
Jul-2001,880
Aug-2001,866
Sep-2001,853
Oct-2001,871
Nov-2001,924
Dec-2001,979
Jan-2002,880
Feb-2002,948
Mar-2002,923
Apr-2002,936
May-2002,978
Jun-2002,957
Jul-2002,956
Aug-2002,1014
Sep-2002,1044
Oct-2002,1006
Nov-2002,1024
Dec-2002,1048
Jan-2003,999
Feb-2003,936
Mar-2003,999
Apr-2003,1012
May-2003,1078
Jun-2003,1193
Jul-2003,1168
Aug-2003,1206
Sep-2003,1131
Oct-2003,1144
Nov-2003,1093
Dec-2003,1129
Jan-2004,1165
Feb-2004,1159
Mar-2004,1276
Apr-2004,1186
May-2004,1241
Jun-2004,1180
Jul-2004,1088
Aug-2004,1175
Sep-2004,1214
Oct-2004,1305
Nov-2004,1179
Dec-2004,1242
Jan-2005,1203
Feb-2005,1319
Mar-2005,1328
Apr-2005,1260
May-2005,1286
Jun-2005,1274
Jul-2005,1389
Aug-2005,1255
Sep-2005,1244
Oct-2005,1336
Nov-2005,1214
Dec-2005,1239
Jan-2006,1174
Feb-2006,1061
Mar-2006,1116
Apr-2006,1123
May-2006,1086
Jun-2006,1074
Jul-2006,965
Aug-2006,1035
Sep-2006,1016
Oct-2006,941
Nov-2006,1003
Dec-2006,998
Jan-2007,891
Feb-2007,828
Mar-2007,833
Apr-2007,887
May-2007,842
Jun-2007,793
Jul-2007,778
Aug-2007,699
Sep-2007,686
Oct-2007,727
Nov-2007,641
Dec-2007,619
Jan-2008,627
Feb-2008,593
Mar-2008,535
Apr-2008,536
May-2008,504
Jun-2008,487
Jul-2008,477
Aug-2008,435
Sep-2008,433
Oct-2008,393
Nov-2008,389
Dec-2008,377
Jan-2009,336
Feb-2009,372
Mar-2009,339
Apr-2009,337
May-2009,376
Jun-2009,393
Jul-2009,411
Aug-2009,418
Sep-2009,386
Oct-2009,396
Nov-2009,375
Dec-2009,352
Jan-2010,345
Feb-2010,336
Mar-2010,381
Apr-2010,422
May-2010,280
Jun-2010,305
Jul-2010,283
Aug-2010,282
Sep-2010,317
Oct-2010,291
Nov-2010,287
Dec-2010,326
Jan-2011,307
Feb-2011,270
Mar-2011,300
Apr-2011,310
May-2011,305
Jun-2011,301
Jul-2011,296
Aug-2011,299
Sep-2011,304
Oct-2011,316
Nov-2011,328
Dec-2011,341
Jan-2012,335
Feb-2012,366
Mar-2012,354
Apr-2012,354
May-2012,370
Jun-2012,360
Jul-2012,369
Aug-2012,375
Sep-2012,385
Oct-2012,358
Nov-2012,392
Dec-2012,399
Jan-2013,442
Feb-2013,439
Mar-2013,449
Apr-2013,451
May-2013,430
Jun-2013,463
Jul-2013,376
Aug-2013,380
Sep-2013,399
Oct-2013,444
Nov-2013,446
Dec-2013,441
Jan-2014,446
Feb-2014,417
Mar-2014,410
Apr-2014,410
May-2014,457
Jun-2014,408
Jul-2014,403
Aug-2014,454
Sep-2014,459
Oct-2014,472
Nov-2014,449
Dec-2014,495
Jan-2015,521
Feb-2015,545
Mar-2015,485
Apr-2015,523
May-2015,517
Jun-2015,482
Jul-2015,"NA"
Aug-2015,"NA"
Sep-2015,"NA"
Oct-2015,"NA"
Nov-2015,"NA"
Dec-2015,"NA"
